f1_macro,f1_weighted,acuracia,bal_acuracia,auc_roc,f1_por_classe,score_composto,seed,cv_f1_mean,cv_f1_std,modelo_nome,n_amostras,timestamp
0.9124,0.9353,0.9333,0.9321,0.9896,"{'Alto': 0.9402, 'Baixo': 0.9877, 'Medio': 0.8095}",0.9455,2024,0.9065,0.0226,RandomForest_default,600,2026-06-04 19:36:09
0.9127,0.9283,0.925,0.9363,0.987,"{'Alto': 0.9273, 'Baixo': 0.9873, 'Medio': 0.8235}",0.9447,42,0.9252,0.0262,GradientBoosting,600,2026-06-04 19:41:31
0.9105,0.9263,0.925,0.9205,0.9929,"{'Alto': 0.9189, 'Baixo': 1.0, 'Medio': 0.8125}",0.9428,2024,0.9009,0.0164,RandomForest_wide,400,2026-06-04 19:38:58
0.9129,0.9322,0.9313,0.9241,0.9863,"{'Alto': 0.9467, 'Baixo': 0.9725, 'Medio': 0.8197}",0.9427,789,0.9187,0.0222,RandomForest_default,800,2026-06-04 19:36:24
0.906,0.9232,0.92,0.9333,0.9908,"{'Alto': 0.913, 'Baixo': 1.0, 'Medio': 0.8049}",0.9425,42,0.913,0.0114,RandomForest_default,1000,2026-06-04 19:36:37
0.9063,0.9284,0.925,0.9307,0.9879,"{'Alto': 0.9281, 'Baixo': 0.9907, 'Medio': 0.8}",0.9416,777,0.8877,0.0246,RandomForest_wide,800,2026-06-04 19:40:16
0.9072,0.9271,0.925,0.9237,0.9907,"{'Alto': 0.9215, 'Baixo': 1.0, 'Medio': 0.8}",0.9415,2025,0.9191,0.0071,RandomForest_default,1000,2026-06-04 19:36:46
0.9051,0.928,0.925,0.9327,0.9867,"{'Alto': 0.9333, 'Baixo': 0.9818, 'Medio': 0.8}",0.9411,314,0.8544,0.0326,RandomForest_wide,400,2026-06-04 19:39:05
0.9112,0.9323,0.9313,0.9215,0.9844,"{'Alto': 0.9359, 'Baixo': 0.9907, 'Medio': 0.807}",0.9409,123,0.9146,0.0069,RandomForest_deep,800,2026-06-04 19:37:54
0.9118,0.934,0.935,0.9047,0.9921,"{'Alto': 0.9353, 'Baixo': 1.0, 'Medio': 0.8}",0.9408,789,0.9155,0.0148,GradientBoosting,1000,2026-06-04 19:43:01
0.9064,0.9344,0.9333,0.9176,0.9888,"{'Alto': 0.9421, 'Baixo': 0.9877, 'Medio': 0.7895}",0.9402,456,0.9225,0.0169,RandomForest_deep,600,2026-06-04 19:37:31
0.9029,0.9276,0.925,0.923,0.9906,"{'Alto': 0.9231, 'Baixo': 1.0, 'Medio': 0.7857}",0.9398,42,0.9012,0.0143,RandomForest_wide,800,2026-06-04 19:39:51
0.905,0.92,0.9167,0.9331,0.9837,"{'Alto': 0.9074, 'Baixo': 1.0, 'Medio': 0.8077}",0.9394,42,0.9018,0.0231,RandomForest_wide,600,2026-06-04 19:39:20
0.905,0.92,0.9167,0.9331,0.9836,"{'Alto': 0.9074, 'Baixo': 1.0, 'Medio': 0.8077}",0.9393,42,0.9149,0.0301,RandomForest_default,600,2026-06-04 19:36:03
0.9053,0.9317,0.9313,0.9086,0.992,"{'Alto': 0.9317, 'Baixo': 1.0, 'Medio': 0.7843}",0.9389,42,0.8926,0.0136,RandomForest_default,800,2026-06-04 19:36:19
0.9,0.9186,0.915,0.9299,0.9893,"{'Alto': 0.9121, 'Baixo': 0.9926, 'Medio': 0.7952}",0.9387,42,0.901,0.0244,RandomForest_wide,1000,2026-06-04 19:40:19
0.9088,0.9365,0.9375,0.9064,0.9855,"{'Alto': 0.962, 'Baixo': 0.9643, 'Medio': 0.8}",0.938,2025,0.9153,0.0286,RandomForest_deep,400,2026-06-04 19:37:11
0.9034,0.9257,0.925,0.9126,0.9893,"{'Alto': 0.9467, 'Baixo': 0.9636, 'Medio': 0.8}",0.9375,789,0.9325,0.0161,RandomForest_deep,800,2026-06-04 19:37:59
0.9009,0.9284,0.925,0.9316,0.9806,"{'Alto': 0.9351, 'Baixo': 0.9818, 'Medio': 0.7857}",0.9373,99,0.8454,0.0202,RandomForest_default,400,2026-06-04 19:35:58
0.9081,0.9363,0.9375,0.9037,0.9853,"{'Alto': 0.9512, 'Baixo': 0.9815, 'Medio': 0.7917}",0.9372,2024,0.8853,0.009,RandomForest_deep,800,2026-06-04 19:38:02
0.9009,0.9284,0.925,0.9316,0.9794,"{'Alto': 0.9351, 'Baixo': 0.9818, 'Medio': 0.7857}",0.9369,99,0.8455,0.0578,RandomForest_deep,400,2026-06-04 19:37:16
0.9028,0.9331,0.9333,0.9044,0.9907,"{'Alto': 0.9431, 'Baixo': 0.9877, 'Medio': 0.7778}",0.9369,456,0.9145,0.0057,GradientBoosting,600,2026-06-04 19:41:38
0.9077,0.9355,0.9375,0.8945,0.9894,"{'Alto': 0.9405, 'Baixo': 1.0, 'Medio': 0.7826}",0.9366,314,0.9198,0.0385,GradientBoosting,800,2026-06-04 19:42:32
0.9009,0.9266,0.925,0.9154,0.9876,"{'Alto': 0.9351, 'Baixo': 0.9818, 'Medio': 0.7857}",0.9365,314,0.854,0.0148,RandomForest_default,400,2026-06-04 19:35:57
0.8975,0.9225,0.9187,0.9286,0.9837,"{'Alto': 0.9221, 'Baixo': 0.9907, 'Medio': 0.7797}",0.936,314,0.877,0.0463,RandomForest_wide,800,2026-06-04 19:40:08
0.9012,0.9272,0.925,0.9114,0.9855,"{'Alto': 0.9367, 'Baixo': 0.9811, 'Medio': 0.7857}",0.9351,123,0.8656,0.0256,GradientBoosting,400,2026-06-04 19:40:59
0.8995,0.9215,0.9187,0.9213,0.9832,"{'Alto': 0.9211, 'Baixo': 0.9907, 'Medio': 0.7869}",0.9351,123,0.9046,0.0183,RandomForest_default,800,2026-06-04 19:36:20
0.9052,0.9341,0.9375,0.8891,0.989,"{'Alto': 0.9512, 'Baixo': 0.9818, 'Medio': 0.7826}",0.9346,2025,0.9195,0.0449,GradientBoosting,400,2026-06-04 19:41:13
